Combinations	core	pangenome	variable
5	50123	60799	10676
5	49234	60677	11443
5	50433	62643	12210
5	51033	61468	10435
5	50522	61273	10751
5	49953	60893	10940
5	49421	60650	11229
5	49664	60758	11094
5	50695	61246	10551
5	50866	59846	8980
5	48217	60412	12195
5	47004	62980	15976
5	50563	60714	10151
5	49499	60579	11080
5	48716	62527	13811
5	49023	60210	11187
5	48432	60489	12057
5	50613	60851	10238
5	50367	62490	12123
5	50142	60604	10462
5	50831	61443	10612
5	51116	60300	9184
5	49293	60392	11099
5	49573	60393	10820
5	50787	62589	11802
5	51869	61845	9976
5	49803	61675	11872
5	48042	62430	14388
5	49119	60629	11510
5	49344	60186	10842
6	48762	60694	11932
6	50745	60551	9806
6	48100	61153	13053
6	48233	61183	12950
6	49538	61437	11899
6	47918	62429	14511
6	49358	60490	11132
6	48977	61652	12675
6	49439	60838	11399
6	48709	61282	12573
6	48531	60775	12244
6	49268	61129	11861
6	49102	61206	12104
6	49840	60869	11029
6	50105	61560	11455
6	49673	61319	11646
6	49365	60949	11584
6	48868	60650	11782
6	49068	61019	11951
6	48470	60797	12327
6	48196	62844	14648
6	51216	62782	11566
6	47408	62628	15220
6	49563	62643	13080
6	49745	60282	10537
6	49424	60539	11115
6	49779	60786	11007
6	48365	60629	12264
6	48716	60378	11662
6	49828	62689	12861
6	49899	62516	12617
6	47960	60560	12600
6	49381	61367	11986
6	46551	63435	16884
6	47696	62630	14934
6	48065	60983	12918
6	48779	61092	12313
6	49672	62553	12881
6	48067	60621	12554
6	49249	63397	14148
6	49904	60814	10910
6	49846	61132	11286
6	50252	62659	12407
6	50492	61183	10691
6	49805	60817	11012
6	50282	60881	10599
6	50310	61321	11011
6	49212	60566	11354
6	48273	60813	12540
6	48894	61420	12526
6	48304	60967	12663
6	49228	61390	12162
6	47985	61749	13764
6	48942	60272	11330
6	49152	60861	11709
6	47000	62601	15601
6	48448	60660	12212
6	49969	60364	10395
6	50520	61409	10889
6	48721	60884	12163
6	49945	62900	12955
6	49969	61565	11596
6	48651	60657	12006
6	50837	62719	11882
6	48936	60646	11710
6	49670	60796	11126
6	49798	62641	12843
6	50031	60642	10611
6	49320	61062	11742
6	51757	62769	11012
6	47669	63323	15654
7	48291	60750	12459
7	48310	60795	12485
7	48660	62245	13585
7	49858	61246	11388
7	48833	60960	12127
7	49226	61041	11815
7	48514	60868	12354
7	48576	61504	12928
7	49004	60949	11945
7	47985	62099	14114
7	49534	61409	11875
7	49118	62724	13606
7	46453	62675	16222
7	48456	62552	14096
7	49522	61191	11669
7	49622	61027	11405
7	47926	62703	14777
7	50332	61569	11237
7	48013	61989	13976
7	48112	60977	12865
7	49213	61741	12528
7	48300	61897	13597
7	50963	61863	10900
7	49535	61563	12028
7	47922	60864	12942
7	49025	60844	11819
7	48604	60990	12386
7	48617	60918	12301
7	48352	61246	12894
7	48688	60903	12215
7	49668	61585	11917
7	49255	62538	13283
7	47247	62039	14792
7	47888	60835	12947
7	49173	62697	13524
7	48495	60931	12436
7	49688	62747	13059
7	48874	62982	14108
7	48389	60956	12567
7	49366	61567	12201
7	48908	61103	12195
7	48289	61271	12982
7	49285	61123	11838
7	50465	61732	11267
7	48375	61286	12911
7	49052	60992	11940
7	48965	61088	12123
7	49548	61101	11553
7	49246	61747	12501
7	49403	62607	13204
7	48663	60808	12145
7	46726	62612	15886
7	49039	62695	13656
7	47925	60861	12936
7	48478	61448	12970
7	49937	61180	11243
7	48555	61078	12523
7	48240	61401	13161
7	47771	62707	14936
7	49534	61559	12025
7	49724	60978	11254
7	49137	61316	12179
7	49225	60858	11633
7	48869	61133	12264
7	48291	61267	12976
7	49214	61179	11965
7	50561	61722	11161
7	49492	61430	11938
7	49281	61439	12158
7	46536	62607	16071
7	48489	61011	12522
8	47948	62638	14690
8	48325	61109	12784
8	48788	61651	12863
8	47570	61281	13711
8	48446	61402	12956
8	46429	63151	16722
8	49325	61479	12154
8	48245	62117	13872
8	48865	61682	12817
8	48788	61764	12976
8	47284	60853	13569
8	47693	62707	15014
8	48637	61317	12680
8	47831	60841	13010
8	48449	61427	12978
8	47976	61343	13367
8	49464	61088	11624
8	48295	61415	13120
8	48454	61333	12879
8	47943	61218	13275
8	46785	62590	15805
8	48082	61677	13595
8	48360	61450	13090
8	48144	61640	13496
8	48060	61912	13852
8	47022	61712	14690
8	48400	61582	13182
8	48458	61116	12658
8	48482	61296	12814
8	47668	61115	13447
8	47936	61133	13197
8	47989	61051	13062
8	48280	61737	13457
8	47894	61398	13504
8	47960	61484	13524
8	45687	62830	17143
8	49083	61381	12298
8	48081	61006	12925
8	47915	61298	13383
8	49021	61307	12286
8	48519	61141	12622
8	48788	61042	12254
8	48803	61470	12667
8	48674	60955	12281
8	49594	61747	12153
8	47249	61179	13930
8	47839	61300	13461
8	48779	61803	13024
8	49026	61448	12422
8	48260	61071	12811
8	47473	61921	14448
8	49382	61307	11925
8	48721	61070	12349
8	47952	61403	13451
8	48522	62717	14195
8	48670	61526	12856
8	47832	61516	13684
8	47818	61623	13805
8	48552	61223	12671
8	50061	61843	11782
8	48261	62155	13894
8	48118	62086	13968
8	47654	61525	13871
8	48597	61113	12516
8	47070	62833	15763
8	48840	62705	13865
8	48694	60536	11842
8	47761	61704	13943
8	47692	61574	13882
8	46051	62808	16757
8	48458	61781	13323
9	47487	61317	13830
9	45703	62961	17258
9	48169	60814	12645
9	47976	62763	14787
9	47685	61466	13781
9	48382	61743	13361
9	47135	61406	14271
9	49068	61472	12404
9	48477	61443	12966
9	47732	61225	13493
9	48152	62725	14573
9	47984	61146	13162
9	46885	62960	16075
9	48170	61143	12973
9	49026	61705	12679
9	47646	61353	13707
9	48496	61173	12677
9	47807	62778	14971
9	46462	62897	16435
9	47849	61648	13799
9	48333	61539	13206
9	45759	62789	17030
9	47533	61409	13876
9	47315	61206	13891
9	48540	61382	12842
9	45883	62923	17040
9	49077	61905	12828
9	48681	61950	13269
9	46966	62077	15111
9	46978	61140	14162
9	48324	61276	12952
9	47401	63007	15606
9	47047	61042	13995
9	45955	63047	17092
9	46794	62103	15309
9	47563	61558	13995
9	46258	63049	16791
9	47610	61074	13464
9	48083	61587	13504
9	49247	61550	12303
9	47876	61551	13675
9	47897	61558	13661
9	48578	60839	12261
9	47820	61739	13919
9	47881	61597	13716
9	48404	61641	13237
9	45466	63219	17753
9	49138	62801	13663
9	47826	61246	13420
9	48894	61503	12609
9	47254	63435	16181
9	48475	61485	13010
9	48598	61699	13101
9	46222	63392	17170
9	47913	61175	13262
9	47593	61431	13838
9	47040	60749	13709
9	48146	61254	13108
9	48526	61758	13232
9	47613	60902	13289
9	44853	62895	18042
9	48328	61050	12722
9	45680	63037	17357
9	45999	62947	16948
9	49065	62695	13630
9	47874	62679	14805
9	45526	63262	17736
9	48926	61585	12659
9	47914	61085	13171
9	47798	61378	13580
9	48249	61708	13459
10	48303	61844	13541
10	48418	61994	13576
10	48099	61559	13460
10	46357	63005	16648
10	47417	61294	13877
10	46869	61698	14829
10	46239	62117	15878
10	47620	61650	14030
10	47869	61420	13551
10	47731	63024	15293
10	47431	61434	14003
10	45089	63238	18149
10	46169	62891	16722
10	47134	61793	14659
10	46933	61674	14741
10	47472	61476	14004
10	48417	61772	13355
10	46413	62993	16580
10	47538	61202	13664
10	44892	62887	17995
10	47605	61299	13694
10	47792	62776	14984
10	47704	61183	13479
10	47426	61712	14286
10	46186	62955	16769
10	47808	62850	15042
10	47398	62726	15328
10	47203	61102	13899
10	47686	61987	14301
10	47844	61911	14067
10	47530	61838	14308
10	45852	62916	17064
10	46344	62076	15732
10	45576	63054	17478
10	46910	62400	15490
10	47681	62545	14864
10	45659	62986	17327
10	47151	61468	14317
10	47407	62755	15348
10	48664	61373	12709
10	47074	61330	14256
10	49002	62858	13856
10	47474	62254	14780
10	48170	62780	14610
10	48215	61697	13482
10	48238	61273	13035
10	45332	62853	17521
10	46749	62965	16216
10	47568	61085	13517
10	45693	62911	17218
10	47127	61156	14029
10	44946	63183	18237
10	48269	61481	13212
10	48068	61843	13775
10	47586	61566	13980
10	46952	62140	15188
10	48052	61487	13435
10	47483	62404	14921
10	48363	61918	13555
10	46130	63411	17281
10	48393	62810	14417
10	46038	62961	16923
10	47795	61782	13987
10	48983	61760	12777
10	47987	61512	13525
10	47462	61478	14016
10	48308	62606	14298
10	49112	62882	13770
10	45675	63390	17715
10	48892	61327	12435
10	47325	61420	14095
11	47903	62889	14986
11	46444	61769	15325
11	47513	61645	14132
11	45550	63319	17769
11	47122	61681	14559
11	45861	62104	16243
11	46994	61574	14580
11	47762	62237	14475
11	47401	61570	14169
11	48843	61795	12952
11	45905	62986	17081
11	48101	61854	13753
11	45656	63269	17613
11	47391	61589	14198
11	47227	62329	15102
11	47213	61873	14660
11	47167	61723	14556
11	47101	61625	14524
11	46575	63028	16453
11	47185	61484	14299
11	47616	62784	15168
11	47237	61889	14652
11	45696	62899	17203
11	47715	61710	13995
11	46984	61463	14479
11	47719	62011	14292
11	47036	61531	14495
11	47130	61426	14296
11	47797	62864	15067
11	46756	61323	14567
11	46818	62324	15506
11	47832	61722	13890
11	47313	61413	14100
11	47114	61501	14387
11	46757	62822	16065
11	47509	61541	14032
11	46677	63033	16356
11	47397	62802	15405
11	47887	61635	13748
11	46351	62957	16606
11	47253	61663	14410
11	48295	61732	13437
11	46898	61669	14771
11	46908	61809	14901
11	46565	62312	15747
11	47356	61224	13868
11	47800	61880	14080
11	47519	61592	14073
11	46350	61523	15173
11	47492	61911	14419
11	47297	61632	14335
11	45646	62974	17328
11	47919	62002	14083
11	47336	62802	15466
11	47612	61538	13926
11	45432	63073	17641
