Combinations	core	pangenome	variable
4	51000	57472	6472
4	51919	57947	6028
4	51090	57122	6032
4	51926	58041	6115
4	51141	57286	6145
5	51002	57749	6747
5	50346	57499	7153
5	50468	57529	7061
5	50812	57563	6751
5	51065	57952	6887
5	50794	57939	7145
5	50749	57284	6535
5	50816	57634	6818
5	50458	57672	7214
5	51356	57845	6489
5	50360	57816	7456
5	51204	58140	6936
5	50485	57931	7446
5	50337	58092	7755
5	50647	57501	6854
5	50883	57871	6988
5	50754	57757	7003
5	51002	57900	6898
5	50506	57520	7014
5	50841	57788	6947
5	51068	57801	6733
5	50392	57482	7090
5	50746	57477	6731
5	50691	57490	6799
5	50609	57535	6926
5	50748	57421	6673
5	51015	58080	7065
5	50292	57460	7168
5	50473	57545	7072
5	50517	57704	7187
5	50971	57844	6873
5	50238	57403	7165
5	50717	57611	6894
5	51042	57907	6865
5	51207	57626	6419
5	50368	57426	7058
5	52232	58087	5855
5	51090	57882	6792
5	51377	57945	6568
5	50547	57455	6908
5	52019	58165	6146
5	50645	57589	6944
5	50892	57563	6671
5	50842	57432	6590
5	50323	57482	7159
5	50918	57768	6850
5	50543	57838	7295
5	51285	58063	6778
5	50524	57726	7202
5	50782	57985	7203
5	50852	57802	6950
5	50438	57967	7529
5	50419	57504	7085
5	50977	58036	7059
5	50919	57517	6598
5	50481	57497	7016
5	51209	57810	6601
5	51061	57922	6861
5	50496	57388	6892
5	50620	57323	6703
5	50626	57959	7333
5	51207	57943	6736
5	50658	57548	6890
5	50557	57453	6896
5	50514	57663	7149
5	50638	57459	6821
5	50572	57379	6807
5	50304	57581	7277
5	50499	57426	6927
5	50230	57723	7493
5	50931	57714	6783
5	50494	57493	6999
5	50369	57462	7093
5	50741	57518	6777
5	51221	57660	6439
5	50694	57742	7048
5	50996	57401	6405
5	50506	57443	6937
5	50280	57484	7204
5	50600	57555	6955
5	50750	57956	7206
5	51132	57831	6699
5	51078	57766	6688
5	50315	57581	7266
5	50698	57663	6965
5	50532	57347	6815
6	50386	57671	7285
6	50388	57796	7408
6	50062	57488	7426
6	50089	57495	7406
6	49971	57681	7710
6	50143	57990	7847
6	49966	57739	7773
6	50408	58020	7612
6	50092	57955	7863
6	50339	57725	7386
6	50412	57808	7396
6	51386	58094	6708
6	50235	57739	7504
6	50902	57958	7056
6	51234	58061	6827
6	50031	57678	7647
6	50063	57702	7639
6	50895	58123	7228
6	50944	58021	7077
6	49978	57653	7675
6	51055	57928	6873
6	50322	57552	7230
6	50865	57838	6973
6	50152	57990	7838
6	50666	57712	7046
6	49985	57848	7863
6	50238	57616	7378
6	50637	58042	7405
6	50155	57752	7597
6	50861	58110	7249
6	50295	58069	7774
6	50454	57774	7320
6	50835	58041	7206
6	50283	57832	7549
6	50923	57848	6925
6	50159	57718	7559
6	50416	57955	7539
6	50212	57572	7360
6	50827	58077	7250
6	50210	57948	7738
6	50678	57958	7280
6	50230	57454	7224
6	50312	57866	7554
6	50622	58128	7506
6	50559	57940	7381
6	50349	57876	7527
6	50429	57951	7522
6	50912	58156	7244
6	50224	57973	7749
6	51088	58104	7016
6	50894	57958	7064
6	50236	57858	7622
6	50523	58055	7532
6	51404	58057	6653
6	50170	57591	7421
6	50932	57809	6877
6	50888	57809	6921
6	50449	57945	7496
6	50411	58042	7631
6	50109	57683	7574
6	50186	57790	7604
6	49965	57750	7785
6	49760	57874	8114
6	50218	57885	7667
6	50586	58059	7473
6	50184	57687	7503
6	50067	57741	7674
6	50833	58061	7228
6	50211	57849	7638
6	49959	58047	8088
6	50569	58114	7545
6	49836	57656	7820
6	50861	57870	7009
6	50125	57968	7843
6	50533	57715	7182
6	49921	57712	7791
6	50793	57792	6999
6	51094	57950	6856
6	50051	57755	7704
6	50694	58011	7317
6	50713	57866	7153
6	50526	57720	7194
6	50194	57873	7679
6	50525	57920	7395
6	50350	57841	7491
6	49986	57747	7761
7	50183	57840	7657
7	49681	57874	8193
7	49831	57800	7969
7	50297	57979	7682
7	50608	58091	7483
7	50327	57743	7416
7	49719	57840	8121
7	49805	57778	7973
7	50155	57999	7844
7	49589	57650	8061
7	49681	57803	8122
7	50417	58009	7592
7	50263	57826	7563
7	50084	58061	7977
7	50273	58126	7853
7	50262	57947	7685
7	50305	57880	7575
7	49833	57817	7984
7	50649	58110	7461
7	50160	57577	7417
7	49790	57777	7987
7	50302	58113	7811
7	49975	57865	7890
7	50239	58008	7769
7	50424	57970	7546
7	49553	57903	8350
7	49999	57621	7622
7	50804	58096	7292
7	49888	57967	8079
7	50603	57973	7370
7	49674	57808	8134
7	49854	58138	8284
7	50174	57777	7603
7	49868	57833	7965
7	50435	57844	7409
7	49682	57693	8011
7	49940	57948	8008
7	49986	57535	7549
7	50206	57707	7501
7	49829	57806	7977
7	50188	57958	7770
7	49671	57742	8071
7	50589	58040	7451
7	50369	57815	7446
7	50114	57700	7586
7	50160	57705	7545
7	49817	58090	8273
7	50771	58170	7399
7	50139	57893	7754
7	49945	57674	7729
7	49352	57881	8529
7	49781	57596	7815
7	49981	57904	7923
7	50562	58120	7558
7	49977	57947	7970
7	50187	58019	7832
7	50323	57817	7494
7	49895	57733	7838
7	50022	58087	8065
7	49862	57895	8033
7	50009	57456	7447
7	49689	57832	8143
7	50206	57976	7770
7	49712	58046	8334
7	49751	57818	8067
7	50075	58060	7985
7	49823	57777	7954
7	50366	57829	7463
7	50173	57755	7582
7	50895	57968	7073
7	50218	58030	7812
7	49732	57853	8121
7	50067	57929	7862
7	49959	58111	8152
7	50015	57798	7783
7	49609	57640	8031
7	49886	58071	8185
7	49910	58024	8114
7	50459	57653	7194
7	49649	57943	8294
7	49890	57846	7956
7	50361	58081	7720
7	50220	57802	7582
7	49568	57827	8259
7	49569	58021	8452
7	49790	57689	7899
8	50481	58122	7641
8	49759	58011	8252
8	49589	57754	8165
8	49605	57881	8276
8	49655	57910	8255
8	49793	58047	8254
8	49905	57717	7812
8	49758	57968	8210
8	49304	57881	8577
8	49675	57734	8059
8	49686	57780	8094
8	49291	57894	8603
8	49349	58123	8774
8	50087	58034	7947
8	49730	57923	8193
8	49816	58087	8271
8	49373	57908	8535
8	49569	57942	8373
8	49940	58210	8270
8	49730	57908	8178
8	49492	57799	8307
8	49895	57850	7955
8	50743	58233	7490
8	49404	57920	8516
8	50382	58034	7652
8	49672	57674	8002
8	49812	57829	8017
8	49961	58017	8056
8	49615	57998	8383
8	50323	58021	7698
8	49918	57966	8048
8	49757	58109	8352
8	49798	57818	8020
8	49888	58123	8235
8	49831	57562	7731
8	49684	58114	8430
8	50024	58026	8002
8	49552	57734	8182
8	49770	58105	8335
8	49779	58094	8315
8	49742	58073	8331
8	49493	58057	8564
8	49896	57812	7916
8	50372	58088	7716
8	49621	58042	8421
8	50150	58253	8103
8	49698	57811	8113
8	50027	57809	7782
8	50657	58111	7454
8	49896	58148	8252
8	50072	58140	8068
8	49545	57960	8415
8	50411	58108	7697
8	49907	58091	8184
8	49576	57882	8306
8	49729	58117	8388
8	49839	58002	8163
8	50137	58155	8018
8	49944	58005	8061
8	49982	57928	7946
8	49321	57871	8550
8	49700	58137	8437
8	49994	58126	8132
8	49441	58012	8571
8	49466	58133	8667
8	49824	58005	8181
8	49324	57965	8641
8	49822	57837	8015
8	50105	57757	7652
8	49495	57823	8328
8	50050	57893	7843
8	49497	57686	8189
8	49767	58109	8342
8	49719	58004	8285
8	50091	58092	8001
8	49478	58005	8527
8	50008	58167	8159
8	49824	57876	8052
8	49262	57849	8587
8	49924	58111	8187
8	50562	58121	7559
8	49980	58014	8034
8	49719	57857	8138
8	49647	58058	8411
8	49467	58091	8624
8	50398	57914	7516
9	49490	58114	8624
9	49645	58051	8406
9	49652	57908	8256
9	49692	58165	8473
9	49335	58048	8713
9	50490	58057	7567
9	49561	57934	8373
9	49573	58098	8525
9	49810	58130	8320
9	50135	57864	7729
9	49724	58076	8352
9	49787	58017	8230
9	49604	58148	8544
9	49456	57916	8460
9	49476	58038	8562
9	49797	58153	8356
9	49683	58146	8463
9	49647	58073	8426
9	49322	57863	8541
9	49662	57879	8217
9	49683	58141	8458
9	49318	57878	8560
9	49543	58180	8637
9	49445	58153	8708
9	49620	58047	8427
9	49496	57895	8399
9	49639	58044	8405
9	49709	58046	8337
9	49471	58004	8533
9	49164	57880	8716
9	49149	58076	8927
9	49468	58075	8607
9	49805	57904	8099
9	49839	58179	8340
