Combinations	core	pangenome	variable
6	94093	107428	13335
6	97633	106916	9283
6	94418	107462	13044
6	96363	106935	10572
6	95380	107582	12202
6	95393	107550	12157
6	93900	107549	13649
6	95308	107575	12267
6	94689	107482	12793
6	94151	107642	13491
6	95939	107121	11182
6	95016	107730	12714
6	95400	107588	12188
6	91377	107681	16304
6	95290	107627	12337
6	96226	107391	11165
7	94335	107567	13232
7	95127	107754	12627
7	94416	107585	13169
7	92737	107764	15027
7	93036	107712	14676
7	95437	107474	12037
7	93308	107370	14062
7	95071	107743	12672
7	94914	107654	12740
7	96083	107363	11280
7	94025	107733	13708
7	96506	107440	10934
7	96288	107612	11324
7	93960	107660	13700
7	94588	107627	13039
7	93835	107682	13847
7	91718	107433	15715
7	92244	107463	15219
7	95374	107594	12220
7	94412	107677	13265
7	90927	107830	16903
7	95470	107654	12184
7	93737	107798	14061
7	93369	107917	14548
7	96434	107298	10864
7	94424	107249	12825
7	94779	107532	12753
7	94898	107551	12653
7	94639	107745	13106
7	95539	107522	11983
7	93927	107562	13635
7	93071	107412	14341
7	94986	107787	12801
7	93167	107714	14547
7	94288	107558	13270
7	93689	107636	13947
7	94113	107416	13303
7	94441	107583	13142
7	94086	107663	13577
7	93030	107655	14625
7	94580	107353	12773
7	94851	107645	12794
7	94327	107477	13150
7	92766	107716	14950
7	93004	107745	14741
7	96028	107320	11292
7	92768	107610	14842
7	92586	107876	15290
7	94204	107618	13414
7	92190	107752	15562
7	94875	107516	12641
7	94075	107797	13722
7	94657	107515	12858
7	94944	107728	12784
8	94873	107710	12837
8	91656	107688	16032
8	94899	107817	12918
8	92927	107775	14848
8	93268	107524	14256
8	94056	107441	13385
8	94119	107601	13482
8	94085	107622	13537
8	95003	107703	12700
8	94958	107758	12800
8	95361	107873	12512
8	92268	107679	15411
8	95059	107739	12680
8	93233	107746	14513
8	91716	107942	16226
8	92973	107752	14779
8	95042	107351	12309
8	94213	107678	13465
8	93472	107769	14297
8	93042	107772	14730
8	95404	107685	12281
8	94733	107494	12761
8	93868	107745	13877
8	95873	107646	11773
8	94896	107915	13019
8	92767	107791	15024
8	93908	107678	13770
8	94240	107624	13384
8	92492	107875	15383
8	94035	107702	13667
8	94158	107722	13564
8	94133	107466	13333
8	92407	107836	15429
8	90955	107836	16881
8	91886	107846	15960
8	92995	107876	14881
8	93147	107628	14481
8	94953	107832	12879
8	92815	107691	14876
8	95428	107631	12203
8	93230	107577	14347
8	94161	107389	13228
8	93228	107748	14520
8	91857	107976	16119
8	93734	107801	14067
8	94356	107561	13205
8	94861	107380	12519
8	94690	107477	12787
8	95523	107631	12108
8	93590	107718	14128
8	92827	107750	14923
8	93860	107444	13584
8	93679	107700	14021
8	93434	107566	14132
9	93492	107693	14201
9	93835	107677	13842
9	96008	107740	11732
9	90639	107888	17249
9	93568	107835	14267
9	92510	107652	15142
9	91772	107918	16146
9	93789	107640	13851
9	91061	107916	16855
9	93113	107735	14622
9	94811	107395	12584
9	94369	107753	13384
9	91482	107871	16389
9	93554	107929	14375
9	92448	108015	15567
9	92299	107875	15576
9	91633	107843	16210
9	94753	107512	12759
9	93717	107484	13767
9	93366	107697	14331
9	91606	107950	16344
9	89816	107975	18159
9	93179	107677	14498
9	93927	107690	13763
9	92978	107833	14855
9	92286	107857	15571
9	93262	107850	14588
9	92736	107878	15142
9	90479	107851	17372
